Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
108.4,108.5,107.2,108.16,1667250,2018-06-14,346.0,33152.560000000005,37506.4,1.1313274148361392
107.52,107.52,104.32,104.4,3436807,2018-06-15,346.0,33152.560000000005,37201.92,1.1221432070404214
105.36,106.64,104.96,106.32,2223116,2018-06-18,355.0,34100.8,37402.8,1.0968305728897856
104.8,105.68,104.08,105.12,1999770,2018-06-19,355.0,34100.8,37204.0,1.091000797635246
106.56,107.52,105.2,106.24,2540238,2018-06-20,355.0,34100.8,37828.8,1.1093229484352274
105.12,107.28,104.96,106.48,2245380,2018-06-21,355.0,34100.8,37317.6,1.0943320977806972
109.68,112.24,108.73,112.16,4123494,2018-06-22,355.0,34100.8,38936.4,1.1418031248533758
112.08,112.4,109.84,110.16,3099946,2018-06-25,363.0,34997.44,40685.04,1.1625147439355563
111.28,114.45,110.32,114.16,4206998,2018-06-26,363.0,34997.44,40394.64,1.1542169941572868
115.92,118.4,115.84,117.2,4305112,2018-06-27,363.0,34997.44,42078.96,1.20234394287125
117.84,119.92,117.52,118.88,3882687,2018-06-28,363.0,34997.44,42775.92,1.2222585423390966
119.44,120.64,119.36,120.48,2701252,2018-06-29,363.0,34997.44,43356.72,1.2388540418956357
120.0,120.48,118.97,119.68,2692019,2018-07-02,371.0,35957.44,44520.0,1.2381304119536873
121.52,122.0,117.84,119.36,2636365,2018-07-03,371.0,35957.44,45083.92,1.2538133971717673
120.0,120.4,117.6,118.24,2737153,2018-07-05,371.0,35957.44,44520.0,1.2381304119536873
117.36,119.84,117.28,119.68,2368135,2018-07-06,371.0,35957.44,43540.56,1.210891542890706
119.76,120.24,118.48,120.24,1612272,2018-07-09,379.0,36915.520000000004,45389.04,1.2295381454737735
120.88,121.36,119.84,120.56,1926900,2018-07-10,379.0,36915.520000000004,45813.52,1.2410368322049912
119.04,120.24,113.73,114.48,4801040,2018-07-11,379.0,36915.520000000004,45116.16,1.2221461325751337
115.04,115.6,113.12,115.12,2938801,2018-07-12,379.0,36915.520000000004,43600.16,1.1810793942493563
115.36,117.28,115.16,115.76,2398042,2018-07-13,379.0,36915.520000000004,43721.44,1.1843647333154186
113.6,113.84,110.88,111.52,3900275,2018-07-16,387.0,37824.32000000001,43963.2,1.1622998113383132
110.72,112.4,110.08,111.6,6807061,2018-07-17,387.0,37824.32000000001,42848.64,1.1328330555579054
110.8,112.88,110.24,112.8,2784428,2018-07-18,387.0,37824.32000000001,42879.6,1.1336515765518056
112.64,114.32,112.24,113.04,2766292,2018-07-19,387.0,37824.32000000001,43591.68,1.1524775594115106
113.44,113.8,112.56,113.2,2851186,2018-07-20,387.0,37824.32000000001,43901.28,1.160662769350513
114.56,115.2,112.4,112.72,2936998,2018-07-23,395.0,38740.80000000001,45251.200000000004,1.1680502209556847
112.88,114.8,112.88,113.84,2495564,2018-07-24,395.0,38740.80000000001,44587.6,1.1509209928550774
114.24,115.84,113.36,115.36,2686585,2018-07-25,395.0,38740.80000000001,45124.799999999996,1.1647875108412833
114.72,116.32,114.72,115.76,1978292,2018-07-26,395.0,38740.80000000001,45314.4,1.1696815760128854
115.6,116.0,113.54,114.56,1882916,2018-07-27,395.0,38740.80000000001,45662.0,1.1786540288274892
116.72,117.12,116.16,116.32,2155037,2018-07-30,403.0,39674.56000000001,47038.159999999996,1.1856000419412334
115.04,115.2,113.92,114.24,2030491,2018-07-31,403.0,39674.56000000001,46361.12,1.1685352024067812
112.72,113.76,111.92,112.72,2264226,2018-08-01,403.0,39674.56000000001,45426.159999999996,1.144969471621109
112.08,115.36,111.84,114.88,2169659,2018-08-02,403.0,39674.56000000001,45168.24,1.138468580369889
114.48,114.8,112.91,114.16,2062802,2018-08-03,403.0,39674.56000000001,46135.44,1.1628469225619638
115.2,116.32,114.4,114.48,2556026,2018-08-06,411.0,40596.16000000001,47347.200000000004,1.1662975020297484
115.44,115.86,114.72,114.88,1672352,2018-08-07,411.0,40596.16000000001,47445.84,1.1687272884923101
113.48,113.52,110.4,111.2,3610016,2018-08-08,411.0,40596.16000000001,46640.28,1.1488840323813874
111.76,112.24,110.96,111.04,2018683,2018-08-09,411.0,40596.16000000001,45933.36,1.1314705627330266
112.08,112.96,111.95,112.64,2255277,2018-08-10,411.0,40596.16000000001,46064.88,1.1347102780164426
112.08,112.4,109.44,112.08,3423044,2018-08-13,419.0,41492.80000000001,46961.52,1.1317992519184048
113.76,113.84,111.12,111.92,2367782,2018-08-14,419.0,41492.80000000001,47665.44,1.1487641229321712
110.24,110.32,107.52,108.08,5946032,2018-08-15,419.0,41492.80000000001,46190.56,1.1132186789033274
108.56,109.2,108.16,109.04,2308626,2018-08-16,419.0,41492.80000000001,45486.64,1.0962538078895612
110.48,110.56,108.88,109.52,2552366,2018-08-17,419.0,41492.80000000001,46291.12,1.115642231905294
109.52,110.4,109.24,110.08,2190329,2018-08-20,428.0,42478.48000000001,46874.56,1.1034895787231556
111.68,111.84,110.48,110.64,1340447,2018-08-21,428.0,42478.48000000001,47799.04,1.1252530693188643
113.04,114.56,112.44,114.16,2537694,2018-08-22,428.0,42478.48000000001,48381.12,1.1389560078420884
113.6,114.48,113.24,114.16,1441387,2018-08-23,428.0,42478.48000000001,48620.799999999996,1.1445983942928275
116.0,116.64,114.88,115.44,1787910,2018-08-24,428.0,42478.48000000001,49648.0,1.1687800505102817
115.84,116.04,115.28,116.0,1358447,2018-08-27,436.0,43405.20000000001,50506.24,1.1635988314764125
116.08,116.08,114.8,115.44,1341259,2018-08-28,436.0,43405.20000000001,50610.88,1.1660096025361013
116.24,117.36,115.8,117.28,2214942,2018-08-29,436.0,43405.20000000001,50680.64,1.1676167832425606
117.52,118.64,117.12,118.0,1791734,2018-08-30,436.0,43405.20000000001,51238.72,1.1804742288942336
117.84,118.24,117.2,117.68,1375350,2018-08-31,436.0,43405.20000000001,51378.24,1.1836885903071517
118.8,118.96,116.24,116.64,1879480,2018-09-04,436.0,43405.20000000001,51796.799999999996,1.1933316745459066
116.64,117.12,115.48,115.92,1609201,2018-09-05,436.0,43405.20000000001,50855.04,1.1716347350087084
115.68,115.92,112.8,114.4,1942388,2018-09-06,436.0,43405.20000000001,50436.48,1.1619916507699537
113.04,114.32,112.57,114.24,1718588,2018-09-07,436.0,43405.20000000001,49285.44,1.135473169113378
115.04,115.36,113.38,113.68,1242658,2018-09-10,444.0,44325.52000000001,51077.76,1.1523330126753164
114.16,117.04,113.84,116.8,1551404,2018-09-11,444.0,44325.52000000001,50687.04,1.143518226069316
118.0,119.68,117.84,118.24,2331057,2018-09-12,444.0,44325.52000000001,52392.0,1.1819827494409538
116.88,117.36,115.12,115.92,2303343,2018-09-13,444.0,44325.52000000001,51894.72,1.170763930124226
115.84,117.68,114.48,116.0,2044781,2018-09-14,444.0,44325.52000000001,51432.96,1.1603464550444076
116.88,117.28,115.36,115.76,1802908,2018-09-17,452.0,45260.56000000001,52829.759999999995,1.1672361102027897
