Open,High,Low,Close,Volume,Date
121.92,124.56,121.84,124.16,2314641,2018-09-28
124.0,128.04,123.56,127.6,3279414,2018-10-01
127.6,127.64,126.64,126.96,1999752,2018-10-02
126.8,129.92,125.36,128.64,3278019,2018-10-03
128.24,128.24,124.88,125.92,3300207,2018-10-04
125.76,127.04,124.8,125.52,3253287,2018-10-05
124.48,125.64,124.24,125.44,2473343,2018-10-08
126.24,127.2,125.12,126.56,2912577,2018-10-09
126.16,126.16,122.96,123.04,2259738,2018-10-10
121.76,122.12,119.12,119.6,3723564,2018-10-11
121.12,121.28,119.36,120.96,3340894,2018-10-12
120.96,121.37,119.76,121.04,2797253,2018-10-15
120.72,122.16,120.4,121.52,2308704,2018-10-16
120.4,120.47,117.52,118.56,3950951,2018-10-17
116.48,118.08,116.08,116.48,2988333,2018-10-18
117.44,118.4,117.04,117.76,2574554,2018-10-19
116.8,118.0,116.0,117.92,2182722,2018-10-22
114.88,115.12,111.44,112.32,5841743,2018-10-23
113.92,114.72,112.32,112.4,3376749,2018-10-24
113.44,114.64,113.28,113.68,1922628,2018-10-25
112.96,115.0,112.48,114.64,2714951,2018-10-26
114.0,114.24,112.32,112.88,2657918,2018-10-29
111.2,113.28,110.96,112.24,2458201,2018-10-30
111.92,113.0,110.17,110.32,3998849,2018-10-31
110.88,110.88,106.96,107.68,4506739,2018-11-01
107.36,108.12,106.2,106.48,3595178,2018-11-02
107.92,108.72,106.32,106.4,2456172,2018-11-05
107.12,107.36,103.94,105.44,3702320,2018-11-06
106.08,106.48,103.8,104.48,3240038,2018-11-07
103.92,104.48,102.56,102.72,3425127,2018-11-08
101.2,102.72,100.56,101.6,3858088,2018-11-09
102.88,103.76,99.52,99.84,4355879,2018-11-12
99.36,99.84,92.92,93.52,10619466,2018-11-13
96.12,97.36,95.04,95.6,6936099,2018-11-14
95.92,97.24,95.44,95.84,4923987,2018-11-15
97.6,98.4,94.96,96.56,3793374,2018-11-16
95.04,97.44,93.56,97.12,4316194,2018-11-19
94.64,95.2,89.306,90.16,9022216,2018-11-20
92.08,94.52,91.36,92.16,4777603,2018-11-21
87.04,87.52,85.52,86.64,6942045,2018-11-23
87.6,88.48,87.04,87.52,4877696,2018-11-26
87.76,88.64,85.15299999999999,87.6,4510757,2018-11-27
86.8,88.32,84.8,85.28,6097719,2018-11-28
86.72,88.32,86.08,86.96,4139982,2018-11-29
85.04,87.4,84.08,85.84,5852474,2018-11-30
90.16,90.16,88.16,90.16,4044548,2018-12-03
89.96,90.802,89.2,89.44,3399303,2018-12-04
86.88,87.999,84.8,87.52,5738675,2018-12-06
90.96,91.805,88.6,88.88,5410952,2018-12-07
86.96,88.22,85.6,86.0,3925260,2018-12-10
88.32,88.79899999999999,86.8,87.6,2606042,2018-12-11
88.56,89.04,86.32,86.56,3284498,2018-12-12
85.92,90.16,85.72,89.68,6635336,2018-12-13
88.72,88.792,86.24,86.56,4474004,2018-12-14
87.12,87.28,83.28,83.6,5016203,2018-12-17
83.28,83.28,77.84,78.32,7047744,2018-12-18
79.76,81.6,79.36,80.16,4808566,2018-12-19
78.48,79.68,77.12,77.76,5516571,2018-12-20
76.96,78.24,76.32,76.56,4862655,2018-12-21
75.92,76.16,74.24,74.32,2699773,2018-12-24
74.0,79.36,73.84,79.2,5122350,2018-12-26
76.72,77.17399999999999,74.96,76.96,4572334,2018-12-27
76.32,77.2,75.04,76.24,2850421,2018-12-28
77.04,77.64,75.52,77.28,3552177,2018-12-31
75.36,80.668,74.88,78.8,4137855,2019-01-02
79.92,80.08,77.24,79.6,4027375,2019-01-03
81.36,83.12,80.48,81.44,4864510,2019-01-04
82.16,84.16,81.85300000000001,82.32,4031141,2019-01-07
83.44,84.398,82.87899999999999,84.0,3644150,2019-01-08
86.48,88.8,85.52,88.4,6148536,2019-01-09
87.12,89.12,86.8,88.8,2647249,2019-01-10
87.84,88.4,86.44,87.2,3576688,2019-01-11
86.48,87.44,85.04,85.52,3882536,2019-01-14
86.8,88.32,86.8,88.0,2989482,2019-01-15
87.6,88.56,86.57,88.48,4094159,2019-01-16
87.04,88.8,86.16,88.24,4481596,2019-01-17
88.96,90.96,88.346,90.48,5105031,2019-01-18
88.72,89.273,87.4,88.96,4597172,2019-01-22
89.36,89.52,87.12,88.4,3630601,2019-01-23
88.48,89.84,88.24,89.36,2748365,2019-01-24
89.6,90.4,89.28,90.0,2220977,2019-01-25
87.52,87.742,86.24,87.6,3613907,2019-01-28
88.96,90.6,88.96,89.28,2847829,2019-01-29
90.72,92.32,90.32,91.2,2582504,2019-01-30
92.0,93.04,90.085,90.8,3443349,2019-01-31
91.2,93.52,91.12,93.04,2362478,2019-02-01
